กรุงเทพมหานคร (914):
  ลาดกระบัง: 64
  มีนบุรี: 50
  หนองจอก: 36
  สายไหม: 36
  บางขุนเทียน: 36
  จตุจักร: 32
  บางแค: 32
  บางบอน: 31
  คลองสามวา: 31
  บึงกุ่ม: 29
  ประเวศ: 29
  ตลิ่งชัน: 27

นครราชสีมา (342):
  เมืองนครราชสีมา: 98
  ปากช่อง: 30
  สีคิ้ว: 23
  โชคชัย: 22
  ปักธงชัย: 19
  โนนสูง: 19
  สูงเนิน: 18
  โนนแดง: 12
  ประทาย: 9
  คง: 9
  หนองบุญมาก: 9
  ครบุรี: 7

ชลบุรี (340):
  ศรีราชา: 69
  บางละมุง: 68
  เมืองชลบุรี: 66
  บ้านบึง: 53
  พนัสนิคม: 30
  สัตหีบ: 21
  พานทอง: 19
  บ่อทอง: 6
  หนองใหญ่: 4
  เกาะจันทร์: 2
  : 1
  เมือง: 1

ปทุมธานี (298):
  คลองหลวง: 88
  ลำลูกกา: 64
  ลาดหลุมแก้ว: 48
  ธัญบุรี: 41
  เมืองปทุมธานี: 36
  สามโคก: 13
  หนองเสือ: 6
  เมืองนครนายก: 2

นครปฐม (250):
  เมืองนครปฐม: 72
  นครชัยศรี: 46
  สามพราน: 45
  กำแพงแสน: 39
  บางเลน: 25
  ดอนตูม: 12
  พุทธมณฑล: 11

นนทบุรี (230):
  บางบัวทอง: 75
  ปากเกร็ด: 48
  เมืองนนทบุรี: 41
  บางใหญ่: 31
  บางกรวย: 20
  ไทรน้อย: 15

ขอนแก่น (228):
  เมืองขอนแก่น: 83
  ชุมแพ: 20
  บ้านไผ่: 18
  หนองเรือ: 14
  น้ำพอง: 14
  พล: 13
  กระนวน: 9
  โนนศิลา: 8
  พระยืน: 6
  ภูเวียง: 5
  ซำสูง: 4
  มัญจาคีรี: 4

สมุทรปราการ (192):
  เมืองสมุทรปราการ: 74
  บางพลี: 56
  พระประแดง: 23
  บางบ่อ: 19
  บางเสาธง: 13
  พระสมุทรเจดีย์: 7

เชียงราย (191):
  เมืองเชียงราย: 67
  แม่จัน: 25
  พาน: 21
  เวียงป่าเป้า: 21
  แม่สาย: 10
  แม่สรวย: 7
  เทิง: 6
  เวียงชัย: 6
  เชียงแสน: 5
  เวียงเชียงรุ้ง: 4
  เชียงของ: 4
  แม่ลาว: 3

เชียงใหม่ (185):
  เมืองเชียงใหม่: 28
  หางดง: 23
  สันทราย: 21
  สันป่าตอง: 14
  สันกำแพง: 13
  แม่ริม: 12
  ฝาง: 11
  จอมทอง: 9
  ดอยสะเก็ด: 9
  เชียงดาว: 9
  สารภี: 7
  ดอยหล่อ: 6

ระยอง (181):
  เมืองระยอง: 74
  แกลง: 32
  นิคมพัฒนา: 26
  บ้านค่าย: 17
  ปลวกแดง: 17
  บ้านฉาง: 12
  วังจันทร์: 3

พระนครศรีอยุธยา (172):
  วังน้อย: 31
  บางปะอิน: 26
  พระนครศรีอยุธยา: 23
  บางปะหัน: 17
  อุทัย: 16
  บางบาล: 10
  นครหลวง: 9
  บางไทร: 6
  บางซ้าย: 6
  ผักไห่: 6
  ภาชี: 5
  ท่าเรือ: 5

บุรีรัมย์ (172):
  เมืองบุรีรัมย์: 58
  ลำปลายมาศ: 14
  นางรอง: 12
  ประโคนชัย: 12
  หนองกี่: 11
  สตึก: 8
  คูเมือง: 7
  เฉลิมพระเกียรติ: 6
  บ้านกรวด: 6
  พุทไธสง: 6
  กระสัง: 5
  ละหานทราย: 5

อุบลราชธานี (150):
  เมืองอุบลราชธานี: 33
  วารินชำราบ: 27
  ตระการพืชผล: 15
  เดชอุดม: 11
  เขื่องใน: 9
  สว่างวีระวงศ์: 8
  พิบูลมังสาหาร: 7
  บุณฑริก: 7
  น้ำยืน: 6
  ศรีเมืองใหม่: 5
  ม่วงสามสิบ: 4
  น้ำขุ่น: 3

ฉะเชิงเทรา (149):
  เมืองฉะเชิงเทรา: 48
  บางปะกง: 27
  พนมสารคาม: 20
  บางคล้า: 20
  บางน้ำเปรี้ยว: 11
  บ้านโพธิ์: 11
  แปลงยาว: 10
  ราชสาส์น: 2

อุดรธานี (147):
  เมืองอุดรธานี: 48
  กุมภวาปี: 26
  หนองหาน: 12
  กุดจับ: 8
  เพ็ญ: 8
  วังสามหมอ: 8
  กู่แก้ว: 6
  บ้านดุง: 6
  หนองวัวซอ: 5
  บ้านผือ: 4
  ไชยวาน: 4
  ประจักษ์ศิลปาคม: 3

สมุทรสาคร (142):
  เมืองสมุทรสาคร: 79
  กระทุ่มแบน: 48
  บ้านแพ้ว: 15

